اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
توفير دوائر الربط لمواقع هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220239504925,الشركة العربية لخدمات الانترنت والاتصالات,2022-06-09,2022-08-11,12
التسويق الرقمي 2,منافسة عامة,تحت التنفيذ,220239504992, شركة امدان للدعاية والاعلان,2022-04-28,2022-06-22,12
مؤتمر هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220239505579,وكالة وقت العرض للدعاية والاعلان ,2022-05-24,2022-06-22,12
تأهيل وترميم مبنى الإدارة العامة في أبراج الضباب وجامعة الاميرة نورة,منافسة عامة,تحت التنفيذ,220239505282, مؤسسة تاج التموين للمقاولات,2022-04-25,2022-06-22,2
مشروع تأمين دائرة اتصال انترنت DIA بالمركز الرئيسي و مركز التعافي من الكوارث لهيئة الزكاة والضريبة والجمارك لمدة عام,منافسة عامة,تحت التنفيذ,220239505758,100032 شركة اتحاد الاتصالات - موبايلي,2022-04-21,2022-07-20,12
مشروع تجديد الدعم لنظام إيراد,منافسة عامة,تحت التنفيذ,220339510375,100018 إنفينيو  لحلول  الأعمال,2022-04-25,2022-06-30,12
حملات توعوية,منافسة عامة,تحت التنفيذ,220339511219,100341 شركة ون للاستثمارات,2022-04-24,2022-06-02,12
مشروع غرف التقاضي الذكية,منافسة عامة,تحت التنفيذ,220339511241,100372 داتا كونسولت السعودية,2022-05-18,2022-06-16,5
مشروع اعمال أنظمة مكافحة وانذار الحريق للمدينة السكنية الجديدة في منفذ حالة عمار,منافسة عامة,تحت التنفيذ,220339513179,101175 مؤسسة الماء الأحمر لأدوات ومواد الس,2022-06-21,2022-08-11,18
تأمين أنظمة فحص اشعاعي بمنفذ الرقعي,منافسة عامة,تحت التنفيذ,220239488822,شركة اي جي اند جي الشرق الاوسط,2022-09-20,2022-11-09,36
مناولة منفذ ( سلوى – الرقعي - الوديعة ),منافسة عامة,تحت التنفيذ,220339515387,مؤسسه رائد صالح الصيعري للمقاولات,2022-07-26,2022-08-25,12
مشروع تطوير الأنظمة الداخلية,منافسة عامة,تحت التنفيذ,220339514921,شركه العرض المتقن للخدمات التجارية,2022-07-05,2022-08-31,12
توريد وتركيب لتوسعة نظام مرحب لعدد من المنافذ والفروع للهيئة,منافسة عامة,تحت التنفيذ,220339515488,100331 السعودية للحاسبات SBM,2022-04-25,2022-07-20,18
صيانة ونظافة وتشغيل فروع الهيئة بالدمام والاحساء وحفر الباطن,منافسة عامة,تحت التنفيذ,220339513335, شركة المخالد للتجارة والمقاولات,2022-06-12,2022-08-27,36
مشروع توريد أجهزة الشبكة الرئيسية,منافسة عامة,تحت التنفيذ,220339517537,101415 ميدا يست داتاسيستمز العربية السعودي,2022-04-19,2022-06-15,36
إتفاقية تأمين قطع الأجزاء الرئيسية لمحطات الكهرباء وملحقاتها,منافسة عامة,تحت التنفيذ,220339517335,100965 مؤسسة نايف عبدالكريم الرخيص,2022-06-16,2022-08-03,36
موقع الكتروني وتطبيق أجهزة ذكية لمؤتمر الزكاة والدخل,منافسة عامة,تحت التنفيذ,220339517052,100236 شركة شور العالمية للتقنية,2022-05-25,2022-06-27,12
مشروع تطوير خدمة زكاة بهيمة الأنعام,منافسة عامة,تحت التنفيذ,220339517096,100236 شركة شور العالمية للتقنية,2022-05-15,2022-06-21,12
توريد مياه صالحة للشرب لمنفذ الوديعة,منافسة عامة,تحت التنفيذ,220339517014,  مؤسسة روائد الشرق للنقليات,2022-04-28,2022-06-22,24
عقد نظافة وصيانة وتشغيل منفذ الربع الخالي,منافسة عامة,تحت التنفيذ,220339512493,مؤسسة حامد سعود العتيبي للمقاولات,2022-07-05,2022-08-13,12
مشروع تحسينات على نظام الفحص الميداني,منافسة عامة,تحت التنفيذ,220339520711,100698 شركة السحاب الوطنية,2022-04-28,2022-06-26,12
المحتوى الإبداعي لهيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220339521977,شركة هوية العربية التجارية ,2022-06-06,2022-07-20,12
توفير دوائر الربط الاحتياطية لمواقع هيئة الزكاة والضريبة والجمارك,منافسة عامة,تحت التنفيذ,220339521643,100032 شركة اتحاد الاتصالات - موبايلي,2022-06-09,2022-08-11,12
